PageURL,TableHeader
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Customer name
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Total amount
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Discount total
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Total after discount
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Date created
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Type
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,Status
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/manage_order_return,option
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_mange,Warehouse code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_mange,Warehouse name
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_mange,Warehouse address
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_mange,Order
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_mange,Display
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_mange,Note
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Form code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Item Code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Warehouse code
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Warehouse name
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Voucher Date
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Opening stock
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Closing Stock
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Batch number/Quantity sold
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Expiry Date
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Serial number
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Note
http://localhost:8080/oshaiger-bgsoft/admin/warehouse/warehouse_history,Status
http://localhost:8080/oshaiger-bgsoft/admin/accounting/banking?group=bank_accounts,Name
